stage,operation,test_number,slice_name,parquet_path,query_name,total_files,total_rows_in_dataset,rows_returned,execution_time_sec,throughput_rows_sec,parquet_files_size_mib,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,net_sent_mib,net_received_mib,failed_process_metric_count,msg,dataframe_partitions_parquet
queries,standard,100,1st-slice,hdfs:///data/parquet/1st-slice_compacted,q1_monthly_payment_statistics,1,7684002,5,13.098007668000037,586654.2603095977,167.0411252975464,2026-04-24T11:08:13.644983+00:00,2026-04-24T11:08:26.743017+00:00,55.21841325431034,55.26953125,0.7144397210105062,10.315517241379315,92.4,"[50.10689655172413, 48.89482758620689, 58.44655172413793, 52.28706896551722]","[100.0, 100.0, 100.0, 100.0]",0,0,29.4296875,2.34765625,0.9587373733520508,4.243714332580566,0,Query was processed successfuly,1
queries,standard,1,1st-slice,hdfs:///data/parquet/1st-slice_compacted,q1_monthly_payment_statistics,1,3842001,5,12.90121332199999,297801.5248727319,83.74209499359131,2026-04-24T12:20:04.453853+00:00,2026-04-24T12:20:17.355100+00:00,55.23855537280702,55.2890625,0.7146918301745981,10.746491228070177,47.6,"[49.43157894736843, 45.08947368421058, 46.50964912280701, 43.494736842105276]","[100.0, 100.0, 100.0, 100.0]",0,0,27.0234375,1.69140625,2.8327035903930664,0.39024829864501953,0,Query was processed successfuly,1
queries,standard,2,1st-slice,hdfs:///data/parquet/1st-slice_compacted,q2_most_valuable_routes,1,3842001,100,13.489619790999996,284811.6595964629,83.74209499359131,2026-04-24T12:26:12.978184+00:00,2026-04-24T12:26:26.467844+00:00,55.320655153508774,55.35546875,0.7155498665697183,12.066666666666668,141.7,"[66.31929824561405, 59.34035087719299, 61.895614035087725, 67.9298245614035]","[100.0, 100.0, 100.0, 100.0]",0,0,36.62890625,2.28515625,2.8776235580444336,0.3509845733642578,0,Query was processed successfuly,1
queries,standard,3,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q1_monthly_payment_statistics,14,52083818,71,13.64088074,3818215.1865950557,1161.4181337356567,2026-04-24T12:32:50.840930+00:00,2026-04-24T12:33:04.481837+00:00,55.21739274364407,55.265625,0.7143888662788056,11.666949152542376,117.9,"[58.686440677966104, 56.970338983050844, 55.69999999999999, 50.852542372881345]","[100.0, 100.0, 100.0, 100.0]",0,0,66.65234375,2,32.156314849853516,11.577756881713867,0,Query was processed successfuly,1
queries,standard,4,2nd-slice,hdfs:///data/parquet/2nd-slice_compacted,q2_most_valuable_routes,14,52083818,100,15.537101069000002,3352222.3849028624,1161.4181337356567,2026-04-24T12:40:18.454167+00:00,2026-04-24T12:40:33.991297+00:00,55.15131419573643,55.203125,0.7135806022414267,11.81782945736434,52.3,"[75.43720930232554, 71.59302325581393, 76.86511627906974, 76.13643410852711]","[100.0, 100.0, 100.0, 100.0]",0,0,276.1484375,3.54296875,229.23726749420166,159.87669944763184,0,Query was processed successfuly,1
queries,standard,5,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,q1_monthly_payment_statistics,31,107143226,158,15.888828027999978,6743305.787638181,2381.8712244033813,2026-04-24T12:45:58.413403+00:00,2026-04-24T12:46:14.302263+00:00,55.25855796755725,55.32421875,0.7151466371243056,11.612213740458014,64.1,"[75.75725190839692, 76.73129770992364, 75.21679389312973, 76.94045801526718]","[100.0, 100.0, 100.0, 100.0]",0,0,94.9375,3.421875,55.38775349,33.26685428619385,0,Query was processed successfuly,1
queries,standard,6,3rd-slice,hdfs:///data/parquet/3rd-slice_compacted,q2_most_valuable_routes,31,107143226,100,19.86093247000008,5394672.488909558,2381.8712244033813,2026-04-24T13:01:00.205522+00:00,2026-04-24T13:01:20.066487+00:00,55.22799161585366,55.296875,0.7147920962858684,10.779878048780489,59.1,"[76.16036585365853, 78.18109756097559, 79.63658536585366, 77.2243902439024]","[100.0, 100.0, 100.0, 100.0]",0,0,548.6484375,5.421875,488.23077297210693,277.3097906112671,0,Query was processed successfuly,1
queries,standard,7,4th-slice,hdfs:///data/parquet/4th-slice_compacted,q1_monthly_payment_statistics,115,633413894,567,51.14773038,12384007.838559816,11799.798226356506,2026-04-24T13:07:01.772308+00:00,2026-04-24T13:07:52.920066+00:00,55.46041607748869,55.609375,0.7188319737835375,11.25972850678732,84.5,"[59.394117647058856, 60.147058823529434, 60.977601809954784, 59.60837104072401]","[100.0, 100.0, 100.0, 100.0]",0,0,5300.078125,6.83984375,2161.770441055298,1248.5268754959106,0,Query was processed successfuly,1
queries,standard,8,4th-slice,hdfs:///data/parquet/4th-slice_compacted,q2_most_valuable_routes,115,633413894,100,79.38873584199999,7978636.859272135,11799.798226356506,2026-04-24T13:15:17.805308+00:00,2026-04-24T13:16:37.194071+00:00,55.56208851911977,55.8046875,0.7213574001241143,10.74531024531025,73.1,"[52.04848484848491, 53.439538239538265, 52.089033189033216, 51.63145743145742]","[100.0, 100.0, 100.0, 100.0]",0,0,8563.03125,20.62890625,4897.839164733887,2539.6862745285034,0,Query was processed successfuly,1
