stage,operation,test_number,parquet_path,compacted_parquet_path,processed_files,processed_rows,execution_time_sec,throughput_rows_sec,threads,parquet_size_mib,compacted_parquet_size_mib,compacted_parquet_files_created,total_partitions_created,benchmark_start_timestamp,benchmark_end_timestamp,avg_rss_mib,peak_rss_mib,memory_percent_of_total,avg_process_cpu_percent,peak_process_cpu_percent,avg_system_cpu_per_core_percent,peak_system_cpu_per_core_percent,logical_read_mib,logical_write_mib,physical_read_mib,physical_write_mib,msg
compaction to one parquet file per partition,standard,1,../data/parquet/1st-slice,../data/parquet/1st-slice_compacted,1,3842004,1.31427598799996,2923285.5466276,3,79.1114511489868,79.1833543777466,1,1,2026-04-15T15:16:35.809997+01:00,2026-04-15T15:16:37.144661+01:00,417.217013888889,566.53515625,6.81039113742402,246.688888888889,320.7,"[53.422222222222224, 54.48888888888889, 26.81111111111111, 71.15555555555557]","[100.0, 100.0, 100.0, 100.0]",81.28125,70.3984375,81.28125,0.16015625,Compaction step completed successfully
compaction to one parquet file per partition,standard,2,../data/parquet/1st-slice,../data/parquet/1st-slice_compacted,1,3842004,1.021948499,3759488.86246173,3,79.1114511489868,79.1833543777466,1,1,2026-04-15T15:23:46.427585+01:00,2026-04-15T15:23:47.474632+01:00,381.29736328125,497.20703125,5.97698612640491,259.4875,298.4,"[41.7125, 38.012499999999996, 69.775, 74.5125]","[71.4, 100.0, 100.0, 100.0]",81.36328125,70.3984375,81.36328125,0,Compaction step completed successfully
compaction to one parquet file per partition,standard,3,../data/parquet/1st-slice,../data/parquet/1st-slice_compacted,1,3842004,1.01029452,3802855.42873183,3,79.1114511489868,79.1833543777466,1,1,2026-04-15T15:25:42.109362+01:00,2026-04-15T15:25:43.153955+01:00,399.85595703125,523.6875,6.29531401438027,258.4,298.6,"[30.737499999999997, 29.1625, 87.075, 74.575]","[83.3, 100.0, 100.0, 100.0]",81.1953125,70.3984375,81.1953125,0,Compaction step completed successfully
compaction to one parquet file per partition,standard,4,../data/parquet/1st-slice,../data/parquet/1st-slice_compacted,1,3842004,0.890000997000016,4316853.59112012,0,79.1114511489868,79.1833543777466,1,1,2026-04-15T15:43:44.506759+01:00,2026-04-15T15:43:45.432433+01:00,427.00390625,594.41015625,7.14546327953422,296.828571428571,380.6,"[56.80000000000001, 60.52857142857143, 70.47142857142858, 66.2]","[100.0, 100.0, 100.0, 100.0]",81.1484375,74.87890625,81.1484375,0,Compaction step completed successfully
compaction to one parquet file per partition,standard,5,../data/parquet/1st-slice,../data/parquet/1st-slice_compacted,1,3842004,0.884940799999995,4341537.87462395,0,79.1114511489868,79.1833543777466,1,1,2026-04-15T15:46:57.745667+01:00,2026-04-15T15:46:58.739938+01:00,444.564174107143,626.96484375,7.53682055423944,299.857142857143,374.4,"[58.1, 63.142857142857146, 73.39999999999999, 68.57142857142857]","[100.0, 100.0, 100.0, 100.0]",81.453125,79.1875,81.453125,0,Compaction step completed successfully
compaction to one parquet file per partition,standard,6,../data/parquet/1st-slice,../data/parquet/1st-slice_compacted,1,3842004,0.913276420999999,4206835.86223891,0,79.1114511489868,79.1833543777466,1,1,2026-04-15T15:50:01.974787+01:00,2026-04-15T15:50:02.966874+01:00,433.73828125,586.14453125,7.04610138388205,298.357142857143,401,"[61.214285714285715, 63.142857142857146, 77.0, 68.17142857142858]","[100.0, 100.0, 100.0, 100.0]",81.3359375,79.18359375,81.34375,0,Compaction step completed successfully
compaction to one parquet file per partition,standard,7,../data/parquet/2nd-slice,../data/parquet/2nd-slice_compacted,529,52083818,15.498120066,3360653.92306918,3,1066.57598686218,1071.20386219025,14,14,2026-04-15T15:52:45.681869+01:00,2026-04-15T15:53:01.244680+01:00,564.262329101563,665.71484375,8.00264276966769,262.078125,318.3,"[46.19140625000001, 68.2328125, 65.48984374999998, 46.33437499999999]","[100.0, 100.0, 100.0, 100.0]",1070.91015625,1071.24609375,1070.91015625,453.33203125,Compaction step completed successfully
compaction to one parquet file per partition,standard,8,../data/parquet/2nd-slice,../data/parquet/2nd-slice_compacted,529,52083818,13.788154318,3777432.1927922,3,1066.57598686218,1071.14361858368,14,14,2026-04-15T16:00:56.029515+01:00,2026-04-15T16:01:09.873680+01:00,531.168410326087,706.99609375,8.4988899240415,264.331304347826,313.2,"[62.11999999999999, 41.86000000000003, 75.77826086956522, 54.073043478260864]","[100.0, 100.0, 100.0, 100.0]",1070.91796875,1071.1875,1071.2109375,463.49658203125,Compaction step completed successfully
compaction to one parquet file per partition,standard,9,../data/parquet/2nd-slice,../data/parquet/2nd-slice_compacted,529,52083818,13.757562382,3785831.86132922,3,1066.57598686218,1071.21532249451,14,14,2026-04-15T16:06:24.527886+01:00,2026-04-15T16:06:38.293810+01:00,574.651324728261,720.546875,8.66178558817121,265.999130434783,311.4,"[72.36521739130431, 47.13999999999999, 81.38521739130434, 39.271304347826074]","[100.0, 100.0, 100.0, 100.0]",1070.6484375,1064.2734375,1112.6171875,436.91796875,Compaction step completed successfully
compaction to one parquet file per partition,standard,10,../data/parquet/2nd-slice,../data/parquet/2nd-slice_compacted,529,52083818,11.658394651,4467494.84462962,0,1066.57598686218,1071.19076728821,14,14,2026-04-15T16:09:46.906416+01:00,2026-04-15T16:09:58.591484+01:00,758.758766351744,983.96484375,11.8283609247811,316.310465116279,394.1,"[70.38953488372091, 64.63953488372091, 70.70697674418605, 62.04418604651162]","[100.0, 100.0, 100.0, 100.0]",1070.5234375,1061.36328125,1070.5234375,464.66015625,Compaction step completed successfully
compaction to one parquet file per partition,standard,11,../data/parquet/2nd-slice,../data/parquet/2nd-slice_compacted,529,52083818,12.701575862,4100579.21677436,0,1066.57598686218,1071.21532249451,14,14,2026-04-15T16:14:02.895670+01:00,2026-04-15T16:14:15.639283+01:00,858.495192307692,1126.0859375,13.5368222150429,308.238461538462,392.9,"[67.5153846153846, 61.65494505494504, 65.44615384615383, 68.13076923076923]","[100.0, 100.0, 100.0, 100.0]",1070.79296875,1071.22265625,1070.79296875,494.234375,Compaction step completed successfully
compaction to one parquet file per partition,standard,12,../data/parquet/2nd-slice,../data/parquet/2nd-slice_compacted,529,52083818,12.202669713,4268231.39730751,0,1066.57598686218,1071.13052368164,14,14,2026-04-15T16:16:53.269656+01:00,2026-04-15T16:17:05.582574+01:00,1014.77073317308,1316.26171875,15.8229494586736,306.289010989011,391.5,"[64.15934065934066, 65.65384615384613, 74.4813186813187, 63.690109890109895]","[100.0, 100.0, 100.0, 100.0]",1070.79296875,1071.171875,1070.80078125,502.2734375,Compaction step completed successfully
compaction to one parquet file per partition,standard,13,../data/parquet/3rd-slice,../data/parquet/3rd-slice_compacted,1091,107143226,31.345527951,3418134.35611895,3,2193.43711090088,2199.23166179657,31,31,2026-04-15T16:20:59.577344+01:00,2026-04-15T16:21:31.094210+01:00,618.318521492095,831.953125,10.0010095863748,258.88814229249,316.2,"[39.32134387351782, 63.65217391304348, 72.57588932806327, 56.653754940711494]","[100.0, 100.0, 100.0, 100.0]",2198.03515625,2199.30859375,2278.26171875,1798.3984375,Compaction step completed successfully
compaction to one parquet file per partition,standard,14,../data/parquet/3rd-slice,../data/parquet/3rd-slice_compacted,1091,107143226,28.149809344,3806179.45545116,3,2193.43711090088,2199.34078598022,31,31,2026-04-15T16:28:20.637282+01:00,2026-04-15T16:28:48.892673+01:00,609.666292247854,747.9609375,8.99132929655308,263.756223175966,314.3,"[64.30729613733908, 50.957510729613745, 66.29570815450644, 50.380686695278996]","[100.0, 100.0, 100.0, 100.0]",2199.0625,2199.41796875,2199.35546875,1672.88671875,Compaction step completed successfully
compaction to one parquet file per partition,standard,15,../data/parquet/3rd-slice,../data/parquet/3rd-slice_compacted,1091,107143226,28.690421069,3734459.86527428,3,2193.43711090088,2199.24714756012,31,31,2026-04-15T16:33:31.362998+01:00,2026-04-15T16:34:00.083421+01:00,629.122190824468,878.546875,10.5611187156183,262.054893617021,321,"[63.85148936170214, 60.08638297872341, 68.82468085106385, 45.78382978723406]","[100.0, 100.0, 100.0, 100.0]",2199.0625,2199.32421875,2279.23828125,1799.05078125,Compaction step completed successfully
compaction to one parquet file per partition,standard,16,../data/parquet/3rd-slice,../data/parquet/3rd-slice_compacted,1091,107143226,24.511463101,4371147.71804988,0,2193.43711090088,2199.30989265442,31,31,2026-04-15T16:37:50.424858+01:00,2026-04-15T16:38:14.938713+01:00,928.896085117403,1164.265625,13.9957850922997,314.355248618784,393.4,"[64.16850828729282, 68.43701657458563, 68.62430939226519, 69.46022099447515]","[100.0, 100.0, 100.0, 100.0]",2198.9375,2199.38671875,2198.9375,1675.6171875,Compaction step completed successfully
compaction to one parquet file per partition,standard,17,../data/parquet/3rd-slice,../data/parquet/3rd-slice_compacted,1091,107143226,24.610188499,4353612.5700278,0,2193.43711090088,2199.26898956299,31,31,2026-04-15T17:00:07.288591+01:00,2026-04-15T17:00:32.015177+01:00,764.578618646978,982.03515625,11.8051639169134,311.994505494505,391.5,"[65.02637362637363, 65.44340659340659, 73.01098901098904, 64.03186813186812]","[100.0, 100.0, 100.0, 100.0]",2198.9375,2199.34375,2198.9375,1739.93359375,Compaction step completed successfully
compaction to one parquet file per partition,standard,18,../data/parquet/3rd-slice,../data/parquet/3rd-slice_compacted,1091,107143226,24.746671822,4329601.44178858,0,2193.43711090088,2199.42688846588,31,31,2026-04-15T17:04:50.480106+01:00,2026-04-15T17:05:15.343404+01:00,1059.9471594769,1384.17578125,16.6393452245391,312.915217391304,400.5,"[67.5407608695652, 68.19673913043476, 71.27391304347826, 63.60326086956524]","[100.0, 100.0, 100.0, 100.0]",2198.93359375,2199.5078125,2199.2890625,1673.6484375,Compaction step completed successfully
compaction to one parquet file per partition,standard,19,../data/parquet/4th-slice,../data/parquet/4th-slice_compacted,6405,633413894,137.12940409,4619096.08813206,0,11979.69871521,12073.1507549286,115,115,2026-04-15T17:21:37.865162+01:00,2026-04-15T17:23:55.113242+01:00,1796.73406691212,2595.43359375,31.2000225396028,320.239143135345,439.4,"[69.72395326192789, 69.19883154819857, 77.32911392405067, 69.04079844206423]","[100.0, 100.0, 100.0, 100.0]",11996.51953125,12073.47265625,11997,11714.08203125,Compaction step completed successfully
compaction to one parquet file per partition,standard,20,../data/parquet/4th-slice,../data/parquet/4th-slice_compacted,6405,633413894,138.474925921,4574213.63316968,0,11979.69871521,12073.5366678238,115,115,2026-04-15T17:28:25.199685+01:00,2026-04-15T17:30:43.717114+01:00,1776.43214699074,2675.8125,32.1662822410386,319.40701754386,443.4,"[69.70653021442496, 71.34922027290449, 76.69727095516564, 69.49385964912275]","[100.0, 100.0, 100.0, 100.0]",11998.73828125,12073.86328125,12080.37890625,11715.9453125,Compaction step completed successfully
compaction to one parquet file per partition,standard,21,../data/parquet/4th-slice,../data/parquet/4th-slice_compacted,6405,633413894,134.336797324,4715118.31916241,0,11979.69871521,12072.7958364487,115,115,2026-04-15T17:33:35.981454+01:00,2026-04-15T17:35:50.466467+01:00,1636.65192868669,2408.6875,28.9551250595773,321.392750744787,433.8,"[69.4905660377359, 70.09443892750743, 77.42125124131077, 68.95332671300889]","[100.0, 100.0, 100.0, 100.0]",11998.69140625,12073.12890625,12088.3671875,11716.76953125,Compaction step completed successfully
